chain,group,cbs_code,cbs_name,product_name,barcode,brand,kind,match
carrefour,food,120070,לחם,אנג'ל לחם PRO מלא פר,7290020216953,",",packaged,shared/4
carrefour,food,120070,לחם,לחם אחיד פרוס 900 גרם,7290018500361,מאפיית שלמה א. אנג'ל,packaged,shared/4
carrefour,food,120070,לחם,לחמניות בשקית 6*75 גרם,7290002065555,מאפיית שלמה א. אנג'ל,packaged,shared/4
ramilevy,food,120070,לחם,אנג'ל לחם PRO מלא פר,7290020216953,",",packaged,shared/4
ramilevy,food,120070,לחם,לחם אחיד פרוס 900 גרם,7290018500361,מאפיית שלמה א. אנג'ל,packaged,shared/4
ramilevy,food,120070,לחם,לחמניות בשקית 6*75 גרם,7290002065555,מאפיית שלמה א. אנג'ל,packaged,shared/4
shufersal,food,120070,לחם,אנג'ל לחם PRO מלא פר,7290020216953,",",packaged,shared/4
shufersal,food,120070,לחם,לחם אחיד פרוס 900 גרם,7290018500361,מאפיית שלמה א. אנג'ל,packaged,shared/4
shufersal,food,120070,לחם,לחמניות בשקית 6*75 גרם,7290002065555,מאפיית שלמה א. אנג'ל,packaged,shared/4
tivtaam,food,120070,לחם,אנג'ל לחם PRO מלא פר,7290020216953,",",packaged,shared/4
tivtaam,food,120070,לחם,לחם אחיד פרוס 900 גרם,7290018500361,מאפיית שלמה א. אנג'ל,packaged,shared/4
tivtaam,food,120070,לחם,לחמניות בשקית 6*75 גרם,7290002065555,מאפיית שלמה א. אנג'ל,packaged,shared/4
carrefour,food,120080,"ביסקוויטים, עוגות וכדומה",אסם קרקר שומשום 250ג,7290000074252,"אסם השקעות בע""מ",packaged,shared/4
carrefour,food,120080,"ביסקוויטים, עוגות וכדומה",ביסלי חטיף בטעם בצל,7290115201727,"אסם השקעות בע""מ",packaged,shared/4
carrefour,food,120080,"ביסקוויטים, עוגות וכדומה",קרם קרקר אסם 250 גרם,7290000074245,"אסם השקעות בע""מ",packaged,shared/4
ramilevy,food,120080,"ביסקוויטים, עוגות וכדומה",אסם קרקר שומשום 250ג,7290000074252,"אסם השקעות בע""מ",packaged,shared/4
ramilevy,food,120080,"ביסקוויטים, עוגות וכדומה",ביסלי חטיף בטעם בצל,7290115201727,"אסם השקעות בע""מ",packaged,shared/4
