cbs_code,product,weight_permille,season_note
120042,תפוחי אדמה,1.04,
120042,בטטה,1.04,
120042,עגבניות,2.295,
120042,עגבניות שרי,0.405,
120042,מלפפונים,1.45,
120042,בצל יבש,1.12,
120042,פלפלים אדומים,1.09,
120042,קישואים,0.5,
120042,גזר,0.4,
120042,חצילים,0.36,
120042,כרוב,0.49,
120043,תפוחים,1.19,שני זנים 0.595 כל אחד
120043,בננות,0.81,
120043,תפוזים,0.38,חורף
120043,קלמנטינות,0.33,חורף
120043,לימונים,0.4,
120043,ענבים,1.11,קיץ
120043,אבטיח,0.85,קיץ
120043,מלון,0.21,קיץ
120043,אפרסק,0.34,קיץ
120043,נקטרינה,0.34,קיץ
120043,אגסים,0.31,
120043,אבוקדו,0.62,חורף
120043,אפרסמון,0.29,סתיו-חורף
120043,מנגו,0.38,קיץ-סתיו
120043,קיווי,0.23,חורף
120043,רימון,0.15,סתיו
120043,תות שדה,0.72,חורף-אביב
