group,cbs_code,cbs_name,weight_permille,observable_in_supermarket
food,120070,לחם,6.07,1
food,120080,"ביסקוויטים, עוגות וכדומה",7.54,1
food,120090,קמח,1.03,1
food,120100,מוצרי בצק,4.37,1
food,120110,קטניות ומוצרי דגן,3.65,1
food,120140,בשר בקר,13.73,1
food,120150,בשר בהמה אחר: כבש וחזיר,2.65,1
food,120160,עופות,11.21,1
food,120170,בשר משומר ומעובד,4.31,1
food,120180,דגים,5.76,1
food,120190,שימורי דגים ודגים מעובדים,2.1,1
food,120210,שמנים,2.75,1
food,120220,מרגרינה,0.1,1
food,120240,חלב,4.32,1
food,120250,"לבן, יוגורט ומעדני חלב",4.35,1
food,120260,שמנת,0.98,1
food,120270,חמאה,0.6,1
food,120280,גבינה,6.83,1
food,120285,גלידות,1.48,1
food,120120,ביצים,2.87,1
food,120380,סוכר ותחליפיו,0.53,1
food,120390,"ריבה, דבש וכדומה",0.45,1
food,120400,ממתקים ושוקולד,3.68,1
food,120350,משקאות קלים,5.48,1
food,120360,משקאות אלכוהולים,10.18,1
food,120300,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות",5.05,1
food,120310,תה,0.54,1
food,120320,קפה,2.55,1
food,120330,קקאו,0.13,1
food,150315,סלטים מוכנים,1.52,1
food,120420,ארוחות בעבודה,1.06,0
food,120430,ארוחות במסעדות ובבתי קפה,28.04,0
food,120440,מצרכים בקיוסקים ובחנויות נוחות,2.61,0
fv,120042,ירקות טריים,14.39,1
fv,120043,פירות טריים,9.35,1
fv,120046,"ירקות קפואים, כבושים ומשומרים",3.29,1
fv,120047,"פירות יבשים, משומרים וקפואים",3.53,1
