name,url,store_id,store_name,size,updated
PriceFull7290027600007-001-001-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-001-20260916-030000.gz?sv=2014-02-14&sr=b&sig=ou%2BbU5d2tRafufeuvNe0faNFhVVcQjKj0ug19gYWJ70%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,1,1 - שלי ת&quot;א- בן יהודה,328.44 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-002-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-002-20260916-030000.gz?sv=2014-02-14&sr=b&sig=TENIrQR5ZK%2Fm833j04cR9BuLQ8J%2Ff3ttcE0EiEqGO0Y%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,2,2 - שלי ירושלים- אגרון,373.92 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-003-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-003-20260916-030000.gz?sv=2014-02-14&sr=b&sig=1lJl99NqKYE%2BvzaqcUX%2FjSQmGC7TlIXgBquJvMbL7rs%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,3,3 - שלי גבעתיים- סירקין,315.32 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-004-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-004-20260916-030000.gz?sv=2014-02-14&sr=b&sig=LbjPvwpNHphEjsEPWARlB6ph5GuxuzMakkzsEFvNBv0%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,4,4 - שלי חיפה- כרמל,358.77 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-005-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-005-20260916-030000.gz?sv=2014-02-14&sr=b&sig=Gpdv9RxhYSKiGL5eePEOTNcfALCdypib1TYUbGJACJY%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,5,5 - שלי ירושלים- יובל,341.07 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-007-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-007-20260916-030000.gz?sv=2014-02-14&sr=b&sig=DCfefnrOjPQqyvDO5AeHZR7HkFSUE6v8I%2BGcqH8riqY%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,7,7 - שלי ת&quot;א- ארלוזורוב,336.79 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-009-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-009-20260916-030000.gz?sv=2014-02-14&sr=b&sig=h9WfprEOrYWcJpYccfxZUPcCxx6BMsAtYPzFOUHm%2BIE%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,9,9 - שלי נתניה- ויצמן,294.14 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-011-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-011-20260916-030000.gz?sv=2014-02-14&sr=b&sig=vK1Dq9uq6SQK%2FHi3peSJJXMPtZ2cZRVr%2BCeZcTZQoTY%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,11,11 - שלי ת&quot;א- נורדאו,286.81 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-017-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-017-20260916-030000.gz?sv=2014-02-14&sr=b&sig=rHjZyCxDw5GY5YGyEiRxyrYSuiqw1Jbax%2BVofsSDfww%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,17,17 - שלי חיפה- חורב,363.19 KB,9/16/2026 3:00:00 AM
PriceFull7290027600007-001-019-20260916-030000.gz,https://pricesprodpublic.blob.core.windows.net/pricefull/PriceFull7290027600007-001-019-20260916-030000.gz?sv=2014-02-14&sr=b&sig=me9J6jcqJr1yj10kzVy6Ux0QkoI3DSAJDjDuDuvSNIM%3D&se=2026-09-16T06%3A03%3A05Z&sp=r,19,19 - שלי חיפה- זיו,329.36 KB,9/16/2026 3:00:00 AM
